event_type,value,t_ms
GameStart,1,0
DamageDealt,28,1800
ItemCollected,1,3000
DamageDealt,35,4500
DamageDealt,42,6000
DamageTaken,20,7500
EnemyKilled,1,8500
HealthRestored,30,9500
DamageDealt,38,11000
ItemCollected,1,12500
DamageDealt,45,14000
DamageTaken,15,15500
EnemyKilled,1,16500
DamageDealt,50,18000
ItemCollected,1,19500
DamageDealt,55,21000
HealthRestored,25,22500
EnemyKilled,1,23500
DamageDealt,48,25000
DamageTaken,12,26500
EnemyKilled,1,27500
LevelCompleted,1,29000
ScoreGained,1900,29500
