event_type,value,t_ms
GameStart,1,0
ScoreGained,100,500
ScoreGained,150,1200
ScoreGained,200,2100
PowerUpCollected,1,3000
ScoreGained,250,3800
ScoreGained,300,5500
LevelCompleted,1,7000
ScoreGained,500,7500
GameStart,1,10000
ScoreGained,120,11000
ScoreGained,180,12500
PowerUpCollected,1,14000
ScoreGained,220,15200
ScoreGained,280,17000
ScoreGained,340,19000
LevelCompleted,1,21000
ScoreGained,600,21800
GameStart,1,25000
ScoreGained,90,26000
ScoreGained,140,27800
ScoreGained,190,29500
PowerUpCollected,1,31000
ScoreGained,240,32500
GameOver,1,35000
